Genotype,DH_Dharwad,DH_IARI-DELHI,DH_IARI-Jharkhand,DH_KARNAL,DH_Pooled,GFD_Dharwad,GFD_IARI-Delhi,GFD_IARI-Jharkhand,GFD_Karnal,GFD_Pooled,GNPS_Dharwad,GNPS_IARI-Jharkhand,GNPS_Pooled,GWPS_Dharwad,GWPS_IARI-Delhi,GWPS_IARI-Jharkhand,GWPS_Karnal,GWPS_Ludhiana,GWPS_Pooled,PH_Dharwad,PH_IARI-Delhi,PH_IARI-Jharkhand,PH_Karnal,PH_Ludhiana,PH_Pooled,GY_Dharwad,GY_IARI-Delhi,GY_IARI-JKD,GY_Karnal,GY_Ludhiana,GY_Pooled
AAI-W22,62.843,97.468,88.419,98.679,86.794,44.283,44.827,31.243,40.735,42.897,81.659,71.609,77.681,3.032,3.835,2.65,3.202,1.223,2.88,65.084,89.657,91.142,104.939,103.318,89.721,185.59,319.822,205.13,500.739,414.035,314.458
AAI-W29,60.066,105.083,87.388,95.276,87.275,44.283,44.827,32.92,42.738,43.136,36.144,70.682,54.635,1.895,2.595,2.524,3.667,1.295,2.487,87.028,104.552,105.472,118.113,109.544,105.657,340.663,387.69,239.604,506.012,426.714,377.428
AKAW5080,55.096,96.634,79.6,89.991,80.225,44.283,44.827,37.318,45.636,44.57,44.869,49.017,47.878,1.64,1.256,2.262,2.397,2.263,1.955,77.823,104.552,94.379,109.194,107.107,98.548,238.635,376.34,246.852,479.973,580.827,381.368
AKAW5088,54.56,89.019,84.524,88.99,78.53,44.283,44.827,31.792,47.256,45.047,38.133,48.72,44.282,1.789,1.704,2.382,2.906,1.707,2.144,80.731,111.612,100.65,112.074,117.128,104.708,256.817,419.135,255.861,555.774,487.549,392.886
AKAW5099,54.268,85.369,81.547,86.468,76.579,44.283,44.827,29.071,47.809,45.286,64.838,47.322,56.952,3.019,1.651,2.406,3.422,2.007,2.559,72.301,102.723,93.587,103.843,99.796,93.936,369.539,392.419,256.515,551.579,527.685,423.772
BCW5,61.186,104.039,89.392,98.679,88.253,44.283,44.827,32.892,39.286,42.42,51.123,58.516,55.769,2.273,2.009,2.351,2.718,1.859,2.274,79.811,100.634,90.35,111.182,102.505,96.062,309.756,557.227,285.655,577.67,515.006,450.299
BRW3863,55.388,93.713,84.524,95.156,81.69,44.283,44.827,33.442,41.46,43.136,60.914,62.472,62.671,2.684,1.974,2.058,3.108,2.172,2.421,80.731,109.782,104.612,123.667,114.691,107.206,430.072,433.322,255.861,511.982,590.291,437.353
BRW3869,60.358,97.468,88.419,95.156,85.093,44.283,44.827,26.844,42.184,42.897,27.858,58.61,44.234,1.424,2.306,2.37,3.548,2.314,2.467,77.97,100.634,103.027,121.884,104.942,101.634,232.754,433.322,268.745,561.1,631.92,426.283
BRW3877,59.238,94.756,86.415,96.157,84.358,44.283,44.827,28.521,41.289,42.897,57.762,46.851,53.187,2.517,0.276,2.381,3.559,1.959,2.2,73.221,107.297,104.679,120.788,107.919,103.351,322.375,458.628,283.893,643.305,520.599,461.672
CG1029,56.753,100.389,80.573,89.11,81.684,44.283,44.827,36.219,48.533,45.047,24.899,44.025,35.377,1.402,2.946,2.368,2.642,1.352,2.167,71.38,94.49,92.794,102.06,103.045,92.207,435.953,429.307,271.009,532.642,448.857,424.71
CG1034,62.551,100.389,84.467,101.442,87.761,44.283,44.827,27.971,36.942,41.464,52.721,54.104,54.394,2.517,0.276,2.48,3.278,2.348,2.233,75.062,107.297,93.587,120.788,107.919,101.046,379.164,458.628,262.957,497.727,598.542,438.219
CG1035,59.238,96.634,86.415,97.919,85.33,44.283,44.827,34.019,40.564,42.42,61.058,46.38,54.587,3.403,1.247,2.269,2.195,1.978,2.2,85.187,101.808,93.587,111.87,103.857,99.124,549.531,520.107,271.009,581.76,509.085,493.193
